segment,meanAsset0,meanAsset1,blockProbAsset0,blockProbAsset1,capacityAsset0,capacityAsset1,percentileAsset0_1,percentileAsset0_3,percentileAsset0_25,percentileAsset0_50,percentileAsset0_75,percentileAsset0_98,percentileAsset0_99,percentileAsset1_1,percentileAsset1_3,percentileAsset1_25,percentileAsset1_50,percentileAsset1_75,percentileAsset1_98,percentileAsset1_99,runtime(s)
0,0.5762937587000971,0.5762937587000966,0.0027331005240326055,0.002733100524032617,4,4,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.49
1,1.035358806459174,1.035358806459173,0.003723484573586931,0.0037234845735869167,5,5,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,56.861
2,1.314458720101629,1.3225490844892789,0.00964456537613109,0.0021295522249984563,5,6,0.0,0.0,0.0,1.0,2.0,4.0,4.0,0.0,0.0,0.0,1.0,2.0,4.0,5.0,39.959
3,1.6516729912103874,1.6527609034748767,0.005939579595367213,0.005963533033668411,6,6,0.0,0.0,1.0,1.0,2.0,5.0,5.0,0.0,0.0,1.0,1.0,2.0,5.0,5.0,67.234
4,1.9953748198068073,1.9955464689643472,0.003740342831984293,0.003742009462756243,7,7,0.0,0.0,1.0,2.0,3.0,5.0,6.0,0.0,0.0,1.0,2.0,3.0,5.0,6.0,93.178
5,2.3324260791768356,2.3430557097286533,0.008152277324292441,0.0023983967527882125,7,8,0.0,0.0,1.0,2.0,3.0,6.0,6.0,0.0,0.0,1.0,2.0,3.0,6.0,7.0,88.466
6,2.680532716103212,2.681946327861641,0.005099114789177928,0.005119138769212354,8,8,0.0,0.0,1.0,3.0,4.0,6.0,7.0,0.0,0.0,1.0,3.0,4.0,6.0,7.0,114.731
7,3.015644713754649,3.030992911816678,0.009577521489112761,0.003247935679010645,8,9,0.0,0.0,2.0,3.0,4.0,7.0,7.0,0.0,0.0,2.0,3.0,4.0,7.0,8.0,223.792
8,3.365953023754423,3.367953670988645,0.006056384717862044,0.00608344069915607,9,9,0.0,0.0,2.0,3.0,5.0,7.0,8.0,0.0,0.0,2.0,3.0,5.0,7.0,8.0,202.767
9,3.7128793421612833,3.7131930255189696,0.00384198858725094,0.003844093710648175,10,10,0.0,1.0,2.0,4.0,5.0,8.0,9.0,0.0,1.0,2.0,4.0,5.0,8.0,9.0,397.325
